Dist,District,Bldg,Building,Beginning Grade 9 Students,Transferred In,Year 1,Year 2,Year 3,Year 4,Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
34033,Tumwater,5014,New Market High School,0,8,0,0,0,1,1,2,6,2,2,33.3,33.3,33.3
34033,Tumwater,1713,Secondary Options,0,9,0,0,0,3,2,0,9,2,2,22.2,55.6,22.2
34033,Tumwater,3362,Tumwater High School,38,12,0,1,0,5,5,21,29,16,2,55.2,37.9,6.9
27083,University Place,3600,Curtis Senior High,7,56,0,1,2,6,1,21,42,31,1,73.8,23.8,2.4
06037,Vancouver,3423,Columbia River High,39,20,0,0,0,2,1,30,29,21,5,72.4,10.3,17.2
06037,Vancouver,1574,Fir Grove Childrens Center,5,8,0,0,0,2,0,11,2,0,0,0.0,100.0,0.0
06037,Vancouver,2179,Fort Vancouver High School,71,34,0,0,2,5,10,67,38,18,3,47.4,44.7,7.9
06037,Vancouver,1738,Gate Program,0,10,0,0,0,0,1,6,4,0,3,0.0,25.0,75.0
06037,Vancouver,3081,Hudson's Bay High School,68,35,0,1,1,6,3,66,37,23,3,62.2,29.7,8.1
06037,Vancouver,3932,Lewis And Clark High School,14,18,0,1,0,4,1,15,17,9,2,52.9,35.3,11.8
06037,Vancouver,4504,Skyview High School,48,22,0,0,1,3,3,40,30,21,2,70.0,23.3,6.7
06037,Vancouver,4524,Vancouver Alternative Programs,2,24,0,0,3,7,5,11,15,0,0,0.0,100.0,0.0
06037,Vancouver,3556,Vancouver Home Connection,0,0,0,0,0,0,0,0,0,0,0,,,
06037,Vancouver,1689,Vancouver School of Arts and Academics,4,0,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
06037,Vancouver,5149,Vancouver Virtual Learning Academy,0,3,0,0,0,0,1,2,1,0,0,0.0,100.0,0.0
17402,Vashon Island,1822,Family Link,0,0,0,0,0,0,0,0,0,0,0,,,
17402,Vashon Island,1938,Student Link,0,3,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
17402,Vashon Island,2419,Vashon Island High School,10,0,0,0,0,0,0,4,6,5,1,83.3,0.0,16.7
34975,WA State Center for Childhood Deafness & Hearing Loss,4246,Washington State School for the Deaf,12,5,0,0,0,0,0,5,12,8,4,66.7,0.0,33.3
35200,Wahkiakum,3467,Wahkiakum High School,6,2,0,0,0,0,0,5,3,2,1,66.7,0.0,33.3
13073,Wahluke,1835,Sentinel Tech Alt School,0,0,0,0,0,0,0,0,0,0,0,,,
13073,Wahluke,4254,Wahluke High School,11,1,0,1,0,1,0,1,11,7,2,63.6,18.2,18.2
36401,Waitsburg,2386,Waitsburg High School,7,2,0,0,0,0,0,6,3,3,0,100.0,0.0,0.0
36140,Walla Walla,2407,Alternative Education Program,0,6,0,0,0,0,2,2,4,2,0,50.0,50.0,0.0
36140,Walla Walla,4071,Lincoln High School,10,21,0,0,0,2,2,15,16,12,0,75.0,25.0,0.0
36140,Walla Walla,3468,Walla Walla High School,57,12,0,0,0,0,3,32,37,26,8,70.3,8.1,21.6
39207,Wapato,4022,Pace Alternative High School,3,5,0,1,0,0,2,4,4,0,1,0.0,75.0,25.0
39207,Wapato,3141,Wapato High School,18,6,0,0,1,1,0,11,13,8,3,61.5,15.4,23.1
13146,Warden,3273,Warden High School,4,3,0,0,0,1,0,5,2,1,0,50.0,50.0,0.0
06112,Washougal,1528,Excelsior High School,0,2,0,0,0,0,1,0,2,1,0,50.0,50.0,0.0
06112,Washougal,3147,Washougal High School,26,16,0,0,1,2,0,16,26,21,2,80.8,11.5,7.7
06112,Washougal,1899,Washougal Special Services,0,0,0,0,0,0,0,0,0,0,0,,,
01109,Washtucna,3075,Washtucna Elementary/High School,0,0,0,0,0,0,0,0,0,0,0,,,
09209,Waterville,2162,Waterville High School,3,1,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
33049,Wellpinit,5957,Wellpinit Alliance - Yakama Nation,0,0,0,0,0,0,0,0,0,0,0,,,
33049,Wellpinit,5217,Wellpinit Alliance -Columbia Basin J.C.,0,0,0,0,0,0,0,0,0,0,0,,,
33049,Wellpinit,1851,Wellpinit Alliance High School,0,2,0,0,0,1,0,1,1,0,0,0.0,100.0,0.0
33049,Wellpinit,2550,Wellpinit High School,4,2,0,0,0,0,0,4,2,2,0,100.0,0.0,0.0
33049,Wellpinit,1911,Wellpinit-Fort Semco High School,0,0,0,0,0,0,0,0,0,0,0,,,
04246,Wenatchee,1612,Skill Source,0,9,0,0,0,3,4,2,7,0,0,0.0,100.0,0.0
04246,Wenatchee,1742,Valley Academy Of Learning,0,0,0,0,0,0,0,0,0,0,0,,,
04246,Wenatchee,2134,Wenatchee High School,39,10,1,2,1,2,1,28,21,11,3,52.4,33.3,14.3
04246,Wenatchee,1613,Westside High School,1,7,0,0,0,3,0,3,5,2,0,40.0,60.0,0.0
32363,West Valley (Spokane),1628,CBE Alternative Programs,0,20,0,0,1,2,3,5,15,4,5,26.7,40.0,33.3
32363,West Valley (Spokane),1838,Spokane Valley High School,4,2,0,0,1,0,0,0,6,5,0,83.3,16.7,0.0
32363,West Valley (Spokane),1842,Spokane Valley Transition School,2,13,0,0,1,2,2,7,8,3,0,37.5,62.5,0.0
32363,West Valley (Spokane),3195,West Valley High School,22,9,0,1,0,0,1,13,18,13,3,72.2,11.1,16.7
39208,West Valley (Yakima),3074,West Valley High School,2,32,1,1,2,2,0,17,17,11,0,64.7,35.3,0.0
39208,West Valley (Yakima),4040,West Valley Jr High,34,1,0,1,0,0,0,34,1,0,0,0.0,100.0,0.0
21303,White Pass,2859,White Pass Jr. Sr. High School,8,2,0,0,1,0,0,5,5,3,1,60.0,20.0,20.0
27416,White River,1544,Collins Alternative Programs,12,33,2,2,1,2,6,21,24,8,3,33.3,54.2,12.5
27416,White River,4569,White River High School,43,11,0,1,3,3,2,17,37,26,2,70.3,24.3,5.4
20405,White Salmon Valley,2330,Columbia High School,15,1,1,0,1,0,0,4,12,9,1,75.0,16.7,8.3
20405,White Salmon Valley,5077,White Salmon Academy,0,2,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
22200,Wilbur,3289,Wilbur Secondary School,4,1,0,0,0,0,0,3,2,2,0,100.0,0.0,0.0
25160,Willapa Valley,2542,Willapa Valley Middle-High,5,0,0,0,0,0,0,1,4,4,0,100.0,0.0,0.0
13167,Wilson Creek,2473,Wilson Creek High,0,0,0,0,0,0,0,0,0,0,0,,,
21232,Winlock,1829,Apolo High School,0,4,0,0,0,2,0,1,3,1,0,33.3,66.7,0.0
21232,Winlock,3597,Winlock Senior High,7,2,0,0,0,0,0,7,2,2,0,100.0,0.0,0.0
14117,Wishkah Valley,3375,Wishkah Valley Elementary/High School,5,1,0,0,1,1,0,3,3,1,0,33.3,66.7,0.0
20094,Wishram,2605,Wishram High And Elementary Schl,0,0,0,0,0,0,0,0,0,0,0,,,
08404,Woodland,1795,TEAM High School,0,3,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
08404,Woodland,3546,Woodland High School,21,7,0,0,3,0,0,10,18,15,0,83.3,16.7,0.0
39007,Yakima,2116,Davis High School,73,27,0,1,1,4,2,58,42,32,2,76.2,19.0,4.8
39007,Yakima,3206,Eisenhower High School,86,15,0,0,0,4,9,48,53,33,7,62.3,24.5,13.2
39007,Yakima,4093,Stanton Alternative School,3,30,0,1,2,5,3,17,16,4,1,25.0,68.8,6.3
39007,Yakima,5153,Yakima Online,0,5,0,0,0,0,0,4,1,1,0,100.0,0.0,0.0
39007,Yakima,5224,Yakima Satellite Alternative Programs,0,3,0,0,0,0,2,0,3,0,1,0.0,66.7,33.3
34002,Yelm,5052,Ridgeline Middle School,0,0,0,0,0,0,0,0,0,0,0,,,
34002,Yelm,1627,Yelm Extension School,1,7,0,0,0,0,1,6,2,1,0,50.0,50.0,0.0
34002,Yelm,2633,Yelm High School 12,8,61,0,0,1,3,6,31,38,25,3,65.8,26.3,7.9
39205,Zillah,2240,Zillah High School,15,7,0,0,0,0,0,8,14,14,0,100.0,0.0,0.0
