Dist,District,Bldg,Building,Beginning Grade 9 Students,Transferred In,Year 1,Year 2,Year 3,Year 4,Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
32356,Central Valley,5166,I-TRACC,0,2,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
32356,Central Valley,1964,Spokane Valley Learning Academy,0,0,0,0,0,0,0,0,0,0,0,,,
32356,Central Valley,3415,University High School,59,21,1,0,6,1,1,40,40,31,0,77.5,22.5,0.0
21401,Centralia,2166,Centralia High School,28,13,2,0,2,8,2,14,27,12,1,44.4,51.9,3.7
21302,Chehalis,2027,Green Hill Academic School,5,37,0,0,2,6,8,22,20,2,2,10.0,80.0,10.0
21302,Chehalis,2799,W F West High School,20,6,0,1,0,1,1,12,14,6,5,42.9,21.4,35.7
32360,Cheney,3610,Cheney High School,33,10,0,0,3,1,2,20,23,15,2,65.2,26.1,8.7
32360,Cheney,1769,Three Springs High School,2,5,0,0,2,0,1,1,6,3,0,50.0,50.0,0.0
33036,Chewelah,1709,Chewelah Alternative,0,5,0,0,0,1,1,3,2,0,0,0.0,100.0,0.0
33036,Chewelah,1763,Home Link Alternative,0,0,0,0,0,0,0,0,0,0,0,,,
33036,Chewelah,2404,Jenkins Senior High,18,4,0,0,1,1,2,10,12,7,1,58.3,33.3,8.3
16049,Chimacum,3275,Chimacum High School,13,1,0,0,1,1,0,3,11,9,0,81.8,18.2,0.0
16049,Chimacum,1724,PI Program,0,0,0,0,0,0,0,0,0,0,0,,,
02250,Clarkston,2299,Charles Francis Adams High School,23,6,0,0,0,1,0,17,12,9,2,75.0,8.3,16.7
02250,Clarkston,1617,Educational Opportunity Center,6,14,0,0,1,2,8,2,18,4,3,22.2,61.1,16.7
02250,Clarkston,3616,Special Services,3,1,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
19404,Cle Elum-Roslyn,2329,Cle Elum Roslyn High School,8,1,0,0,1,0,0,7,2,1,0,50.0,50.0,0.0
19404,Cle Elum-Roslyn,1987,Swiftwater Learning Center,0,3,0,0,0,1,0,1,2,1,0,50.0,50.0,0.0
27400,Clover Park,1825,Alfaretta House,0,4,0,0,0,0,0,1,3,0,3,0.0,0.0,100.0
27400,Clover Park,2425,Clover Park High School,72,34,0,1,3,0,7,78,28,16,1,57.1,39.3,3.6
27400,Clover Park,2041,Firwood,9,9,0,0,0,0,0,17,1,0,1,0.0,0.0,100.0
27400,Clover Park,5027,Harrison Prep School,0,0,0,0,0,0,0,0,0,0,0,,,
27400,Clover Park,3456,Lakes High School,37,22,1,0,0,0,1,38,21,15,4,71.4,9.5,19.0
27400,Clover Park,4862,Lakewood Career Academy,5,12,0,0,1,1,1,13,4,1,0,25.0,75.0,0.0
27400,Clover Park,1880,Re-Entry High School,0,0,0,0,0,0,0,0,0,0,0,,,
38300,Colfax,3366,Colfax High School,8,3,0,0,0,0,0,8,3,3,0,100.0,0.0,0.0
38306,Colton,2588,Colton School,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
33206,Columbia (Stevens),3508,Columbia High And Elementary,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
36400,Columbia (Walla Walla),4049,Columbia High School,12,3,0,1,0,2,0,4,11,7,1,63.6,27.3,9.1
33115,Colville,5105,Columbia Virtual Academy-Colville,0,0,0,0,0,0,0,0,0,0,0,,,
33115,Colville,3310,Colville Senior High School,16,5,0,0,0,0,0,14,7,7,0,100.0,0.0,0.0
33115,Colville,5230,Panorama Distance,0,0,0,0,0,0,0,0,0,0,0,,,
33115,Colville,1594,Panorama School,0,11,0,0,0,2,3,1,10,4,1,40.0,50.0,10.0
29011,Concrete,2810,Concrete High School,12,4,0,0,0,0,0,10,6,6,0,100.0,0.0,0.0
29011,Concrete,1762,Skagit River School House,0,0,0,0,0,0,0,0,0,0,0,,,
29011,Concrete,1605,Twin Cedars High School,1,5,0,2,0,1,1,1,5,0,1,0.0,80.0,20.0
13151,Coulee-Hartline,2968,Almira Coulee Hartline High School,5,3,0,0,0,0,1,6,2,1,0,50.0,50.0,0.0
15204,Coupeville,1913,Cedar Program,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
15204,Coupeville,2625,Coupeville High School,7,5,1,0,0,0,0,7,5,4,0,80.0,20.0,0.0
05313,Crescent,3473,Crescent School,5,1,0,1,1,1,0,2,4,1,0,25.0,75.0,0.0
05313,Crescent,5030,HomeConnection,0,0,0,0,0,0,0,0,0,0,0,,,
22073,Creston,2863,Creston Jr-Sr High School,0,0,0,0,0,0,0,0,0,0,0,,,
10050,Curlew,2006,Curlew Elem & High School,4,1,0,0,0,0,0,1,4,4,0,100.0,0.0,0.0
10050,Curlew,1921,Curlew Parent Partner,0,0,0,0,0,0,0,0,0,0,0,,,
26059,Cusick,2423,Cusick Jr Sr High School,4,1,0,0,0,0,0,4,1,1,0,100.0,0.0,0.0
31330,Darrington,3188,Darrington Sr High School,8,5,0,0,0,0,1,5,8,7,0,87.5,12.5,0.0
22207,Davenport,3173,Davenport Senior High School,5,1,0,0,0,0,1,2,4,3,0,75.0,25.0,0.0
07002,Dayton,2302,Dayton High School,4,0,0,0,0,0,0,1,3,2,1,66.7,0.0,33.3
32414,Deer Park,4123,Deer Park High School,28,4,0,1,0,3,1,12,20,9,6,45.0,25.0,30.0
32414,Deer Park,1852,Deer Park Home Link Program,0,0,0,0,0,0,0,0,0,0,0,,,
32361,East Valley (Spokane),3360,East Valley High School,43,17,0,0,0,1,1,28,32,17,13,53.1,6.3,40.6
32361,East Valley (Spokane),5069,East Valley HomeLink,0,0,0,0,0,0,0,0,0,0,0,,,
32361,East Valley (Spokane),1821,GED Program,0,0,0,0,0,0,0,0,0,0,0,,,
32361,East Valley (Spokane),1788,The Connection School,0,0,0,0,0,0,0,0,0,0,0,,,
32361,East Valley (Spokane),5156,Washington Academy of Arts and Technology,0,18,0,0,0,3,0,10,8,3,2,37.5,37.5,25.0
39090,East Valley (Yakima),2344,East Valley High School,30,5,1,0,0,0,0,10,25,23,1,92.0,4.0,4.0
09206,Eastmont,2986,Canyon View Group Home,0,2,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
09206,Eastmont,3372,Eastmont Junior High,0,0,0,0,0,0,0,0,0,0,0,,,
09206,Eastmont,2727,Eastmont Senior High,0,59,0,0,1,2,3,16,43,36,1,83.7,14.0,2.3
19028,Easton,3554,Easton School,0,0,0,0,0,0,0,0,0,0,0,,,
27404,Eatonville,2206,Eatonville High School,24,6,0,0,1,3,0,15,15,8,3,53.3,26.7,20.0
31015,Edmonds,5060,Edmonds Career Access,0,10,0,0,0,1,1,3,7,0,5,0.0,28.6,71.4
31015,Edmonds,1966,Edmonds Heights K-12,1,2,0,0,0,0,0,2,1,0,1,0.0,0.0,100.0
31015,Edmonds,1519,Edmonds Independent Learning,1,7,0,0,1,1,1,4,4,1,0,25.0,75.0,0.0
31015,Edmonds,3123,Edmonds Woodway High School,59,14,0,3,0,4,2,42,31,20,2,64.5,29.0,6.5
31015,Edmonds,3755,Lynnwood High School,37,20,0,0,1,3,2,35,22,13,3,59.1,27.3,13.6
31015,Edmonds,3818,Maplewood Center,1,2,0,0,0,0,0,0,3,1,2,33.3,0.0,66.7
31015,Edmonds,3464,Meadowdale High School,36,19,0,0,0,1,4,28,27,21,1,77.8,18.5,3.7
31015,Edmonds,3303,Mountlake Terrace High School,45,13,1,1,1,2,2,26,32,25,0,78.1,21.9,0.0
31015,Edmonds,3854,Scriber Lake High School,6,38,0,0,1,2,5,19,25,6,11,24.0,32.0,44.0
31015,Edmonds,1830,Special Education Contracted,6,4,0,0,0,0,1,8,2,1,0,50.0,50.0,0.0
19401,Ellensburg,2996,Ellensburg High School,24,6,1,0,2,3,2,10,20,11,1,55.0,40.0,5.0
19401,Ellensburg,5186,Excel High School,0,2,0,0,0,1,0,1,1,0,0,0.0,100.0,0.0
19401,Ellensburg,5097,K-12 Ellensburg Learning Center,0,6,0,0,0,1,0,3,3,0,2,0.0,33.3,66.7
14068,Elma,1629,East Grays Harbor High School,1,2,1,0,0,0,0,1,2,1,0,50.0,50.0,0.0
14068,Elma,2137,Elma High School,23,9,0,0,1,3,1,13,19,10,4,52.6,26.3,21.1
04127,Entiat,3317,Entiat Middle and High School,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
17216,Enumclaw,3330,Enumclaw Sr High School,44,8,0,2,2,2,1,19,33,21,5,63.6,21.2,15.2
17216,Enumclaw,1986,Muckleshoot Tribal School,2,1,0,0,0,1,1,1,2,0,0,0.0,100.0,0.0
13165,Ephrata,2920,Ephrata High School,29,6,0,0,0,1,0,18,17,14,2,82.4,5.9,11.8
13165,Ephrata,1971,Sage Hills High School,2,8,0,0,1,1,0,1,9,7,0,77.8,22.2,0.0
31002,Everett,3407,Cascade High School,52,17,0,1,1,1,1,28,41,36,1,87.8,9.8,2.4
31002,Everett,2126,Everett High School,64,27,1,1,0,1,3,63,28,18,4,64.3,21.4,14.3
31002,Everett,4438,Henry M. Jackson High School,49,10,0,0,1,2,0,25,34,27,4,79.4,8.8,11.8
31002,Everett,1663,NW Learning Center,0,6,0,0,0,0,1,5,1,0,0,0.0,100.0,0.0
31002,Everett,1811,Pass Program,0,0,0,0,0,0,0,0,0,0,0,,,
31002,Everett,1907,Port Gardner,0,0,0,0,0,0,0,0,0,0,0,,,
31002,Everett,4137,Sequoia High School,9,16,0,1,0,1,1,17,8,3,2,37.5,37.5,25.0
31002,Everett,3903,Special Services,0,10,0,0,0,0,0,5,5,0,5,0.0,0.0,100.0
06114,Evergreen (Clark),2724,Evergreen High School,82,29,0,2,1,3,6,60,51,39,0,76.5,23.5,0.0
06114,Evergreen (Clark),4498,Frontier Middle School,0,0,0,0,0,0,0,0,0,0,0,,,
06114,Evergreen (Clark),4523,Heritage High School,107,33,3,1,2,6,6,73,67,47,2,70.1,26.9,3.0
06114,Evergreen (Clark),1926,Home Choice Academy,0,0,0,0,0,0,0,0,0,0,0,,,
06114,Evergreen (Clark),1801,iQ Academy Washington,1,5,0,0,0,1,1,4,2,0,0,0.0,100.0,0.0
06114,Evergreen (Clark),4042,Legacy High School,1,27,0,0,1,0,3,23,5,1,0,20.0,80.0,0.0
06114,Evergreen (Clark),4162,Mountain View High School,90,33,1,0,3,4,4,77,46,30,4,65.2,26.1,8.7
06114,Evergreen (Clark),5111,Union High School,0,53,0,0,1,1,0,21,32,29,1,90.6,6.3,3.1
17210,Federal Way,5163,Career Academy at Truman High School,0,4,0,0,0,1,0,0,4,3,0,75.0,25.0,0.0
17210,Federal Way,3766,Decatur High School,68,19,1,2,5,2,3,46,41,28,0,68.3,31.7,0.0
17210,Federal Way,1950,Employment Transition Program,0,19,0,0,1,2,0,8,11,0,8,0.0,27.3,72.7
17210,Federal Way,2417,Federal Way High School,75,27,3,2,3,5,2,59,43,27,1,62.8,34.9,2.3
17210,Federal Way,1789,Federal Way Public Academy,0,0,0,0,0,0,0,0,0,0,0,,,
17210,Federal Way,4390,H. S. Truman High School,7,6,0,0,2,0,0,9,4,2,0,50.0,50.0,0.0
17210,Federal Way,1759,Internet Academy,0,0,0,0,0,0,0,0,0,0,0,,,
17210,Federal Way,4340,Merit School,0,0,0,0,0,0,0,0,0,0,0,,,
17210,Federal Way,1951,Support School,3,10,0,0,1,1,1,10,3,0,0,0.0,100.0,0.0
17210,Federal Way,3584,Thomas Jefferson High School,50,23,0,2,2,4,3,36,37,25,1,67.6,29.7,2.7
17210,Federal Way,4570,Todd Beamer High School,50,19,0,0,2,4,4,35,34,23,1,67.6,29.4,2.9
37502,Ferndale,2488,Ferndale High School,53,16,2,1,2,6,3,32,37,18,5,48.6,37.8,13.5
37502,Ferndale,3135,Lummi High School,7,1,0,1,0,2,2,0,8,3,0,37.5,62.5,0.0
27417,Fife,4582,Columbia Junior High School,0,0,0,0,0,0,0,0,0,0,0,,,
27417,Fife,2773,Fife High School,0,29,0,1,2,0,0,12,17,13,1,76.5,17.6,5.9
27417,Fife,1793,Learning Opportunity Center,0,2,0,0,1,0,0,0,2,1,0,50.0,50.0,0.0
03053,Finley,2367,River View High School,5,4,0,0,0,0,1,2,7,6,0,85.7,14.3,0.0
27402,Franklin Pierce,2876,Franklin Pierce High School,48,18,1,2,2,2,4,34,32,16,5,50.0,34.4,15.6
27402,Franklin Pierce,4063,Gates Secondary School,4,13,0,0,0,0,1,8,9,8,0,88.9,11.1,0.0
